"Campaign";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum";"SOC_stock_cum_FD";"Soil_mass";"SOC_stock_FD";"SOC_g_kg"
"BT";1;"BT_P4";1;0;-15;0;150;"BT_1_BT_P4";785.5;19.0193115;785.5;19.0193115;24.213
"BT";1;"BT_P4";2;-15;-30;150;300;"BT_1_BT_P4";1603.2;29.7238222;817.7;10.7045107;13.091
"BT";2;"BT_P6";1;0;-15;0;150;"BT_2_BT_P6";1611;19.365831;1611;19.365831;12.021
"BT";2;"BT_P6";2;-15;-30;150;300;"BT_2_BT_P6";3052.8;40.437738;1441.8;21.071907;14.615
"BT";2;"BT_P8";1;0;-15;0;150;"BT_2_BT_P8";1336.8;25.2067008;1336.8;25.2067008;18.856
"BT";2;"BT_P8";2;-15;-30;150;300;"BT_2_BT_P8";2655.4;41.5362432;1318.6;16.3295424;12.384
"BT";3;"BT_P3";1;0;-15;0;150;"BT_3_BT_P3";1075.8;22.7875956;1075.8;22.7875956;21.182
"BT";3;"BT_P3";2;-15;-30;150;300;"BT_3_BT_P3";2549.8;41.1094156;1474;18.32182;12.43
"BT";3;"BT_P7";1;0;-15;0;150;"BT_3_BT_P7";1453.8;33.982575;1453.8;33.982575;23.375
"BT";3;"BT_P7";2;-15;-30;150;300;"BT_3_BT_P7";2607.9;53.5064847;1154.1;19.5239097;16.917
"BT";4;"BT_P2";1;0;-15;0;150;"BT_4_BT_P2";1191.6;28.4994972;1191.6;28.4994972;23.917
"BT";4;"BT_P2";2;-15;-30;150;300;"BT_4_BT_P2";2677.7;50.7865389;1486.1;22.2870417;14.997
"BT";4;"BT_P5";1;0;-15;0;150;"BT_4_BT_P5";694.5;15.579024;694.5;15.579024;22.432
"BT";4;"BT_P5";2;-15;-30;150;300;"BT_4_BT_P5";1794.6;27.7109268;1100.1;12.1319028;11.028
"FB";1;"FB_P4";1;0;-15;0;150;"FB_1_FB_P4";1114.2;23.916303;1114.2;23.916303;21.465
"FB";1;"FB_P4";2;-15;-30;150;300;"FB_1_FB_P4";2759.5;51.6280909000001;1645.3;27.7117879000001;16.843
"FB";1;"FB_P6";1;0;-15;0;150;"FB_1_FB_P6";1096.6;23.8367942;1096.6;23.8367942;21.737
"FB";1;"FB_P6";2;-15;-30;150;300;"FB_1_FB_P6";2574.7;43.9566914;1478.1;20.1198972;13.612
"FB";2;"FB_P1";1;0;-15;0;150;"FB_2_FB_P1";1473.4;32.2365186;1473.4;32.2365186;21.879
"FB";2;"FB_P1";2;-15;-30;150;300;"FB_2_FB_P1";2823;52.5830882;1349.6;20.3465696;15.076
"FB";2;"FB_P5";1;0;-15;0;150;"FB_2_FB_P5";1090.8;26.8085916;1090.8;26.8085916;24.577
"FB";2;"FB_P5";2;-15;-30;150;300;"FB_2_FB_P5";3083.7;57.1584657;1992.9;30.3498741;15.229
"FB";3;"FB_P3";1;0;-15;0;150;"FB_3_FB_P3";1441.5;26.921454;1441.5;26.921454;18.676
"FB";3;"FB_P3";2;-15;-30;150;300;"FB_3_FB_P3";3115.049405;48.6591872215449;1673.54940499999;21.7377332215449;12.989
"FB";3;"FB_P7";1;0;-15;0;150;"FB_3_FB_P7";1242.2;23.9160766;1242.2;23.9160766;19.253
"FB";3;"FB_P7";2;-15;-30;150;300;"FB_3_FB_P7";2404.8;38.3695198;1162.6;14.4534432;12.432
"FB";4;"FB_P2";1;0;-15;0;150;"FB_4_FB_P2";1390;31.48906;1390;31.48906;22.654
"FB";4;"FB_P2";2;-15;-30;150;300;"FB_4_FB_P2";2633.3;48.1579831;1243.3;16.6689231;13.407
"FB";4;"FB_P8";1;0;-15;0;150;"FB_4_FB_P8";1087.6;25.080056;1087.6;25.080056;23.06
"FB";4;"FB_P8";2;-15;-30;150;300;"FB_4_FB_P8";2520.2;45.1880296;1432.6;20.1079736;14.036
"HR";1;"HR_P4";1;0;-15;0;150;"HR_1_HR_P4";1402.9;21.3759873;1402.9;21.3759873;15.237
"HR";1;"HR_P4";2;-15;-30;150;300;"HR_1_HR_P4";3182.4;43.0004712999999;1779.49999999999;21.6244839999999;12.152
"HR";1;"HR_P5";1;0;-15;0;150;"HR_1_HR_P5";1575.7;22.6916557000001;1575.7;22.6916557000001;14.401
"HR";1;"HR_P5";2;-15;-30;150;300;"HR_1_HR_P5";3468.20000000001;41.0829707000001;1892.5;18.391315;9.718
"HR";2;"HR_P1";1;0;-15;0;150;"HR_2_HR_P1";947.800000000001;16.6225164;947.800000000001;16.6225164;17.538
"HR";2;"HR_P1";2;-15;-30;150;300;"HR_2_HR_P1";2370.5;36.1746825;1422.7;19.5521661;13.743
"HR";2;"HR_P6";1;0;-15;0;150;"HR_2_HR_P6";1296.5;21.330018;1296.5;21.330018;16.452
"HR";2;"HR_P6";2;-15;-30;150;300;"HR_2_HR_P6";2734.6;39.5895737;1438.1;18.2595557;12.697
"HR";3;"HR_P7";1;0;-15;0;150;"HR_3_HR_P7";1245.8;15.6871136;1245.8;15.6871136;12.592
"HR";3;"HR_P7";2;-15;-30;150;300;"HR_3_HR_P7";2289.4;20.4114908;1043.6;4.7243772;4.527
"HR";3;"HR_P8";1;0;-15;0;150;"HR_3_HR_P8";1289.7;14.1802515;1289.7;14.1802515;10.995
"HR";3;"HR_P8";2;-15;-30;150;300;"HR_3_HR_P8";2273.9;20.4053165;984.2;6.225065;6.325
"HR";4;"HR_P2";1;0;-15;0;150;"HR_4_HR_P2";1338.1;13.9510306;1338.1;13.9510306;10.426
"HR";4;"HR_P2";2;-15;-30;150;300;"HR_4_HR_P2";2798.8;28.2337552;1460.7;14.2827246;9.778
"HR";4;"HR_P3";1;0;-15;0;150;"HR_4_HR_P3";1017.2;12.1921592;1017.2;12.1921592;11.986
"HR";4;"HR_P3";2;-15;-30;150;300;"HR_4_HR_P3";2729.7;30.6974342;1712.5;18.505275;10.806
"PM";1;"PM_P4";1;0;-15;0;150;"PM_1_PM_P4";1751.4;26.7578892;1751.4;26.7578892;15.278
"PM";1;"PM_P4";2;-15;-30;150;300;"PM_1_PM_P4";3906.6;50.95863;2155.2;24.2007408;11.229
"PM";1;"PM_P6";1;0;-15;0;150;"PM_1_PM_P6";1758.3;24.5599344;1758.3;24.5599344;13.968
"PM";1;"PM_P6";2;-15;-30;150;300;"PM_1_PM_P6";3520.7;51.0858167999999;1762.4;26.5258823999999;15.051
"PM";2;"PM_P2";1;0;-15;0;150;"PM_2_PM_P2";1580.7;22.5818802;1580.7;22.5818802;14.286
"PM";2;"PM_P2";2;-15;-30;150;300;"PM_2_PM_P2";3552.8;44.9099964;1972.1;22.3281161999999;11.322
"PM";2;"PM_P3";1;0;-15;0;150;"PM_2_PM_P3";1352.4;23.186898;1352.4;23.186898;17.145
"PM";2;"PM_P3";2;-15;-30;150;300;"PM_2_PM_P3";3899.7;48.0179784;2547.3;24.8310804;9.748
"PM";3;"PM_P5";1;0;-15;0;150;"PM_3_PM_P5";1517.4;20.6184312;1517.4;20.6184312;13.588
"PM";3;"PM_P5";2;-15;-30;150;300;"PM_3_PM_P5";3615.7;41.7986714;2098.3;21.1802402;10.094
"PM";3;"PM_P8";1;0;-15;0;150;"PM_3_PM_P8";2262.6;22.2142068;2262.6;22.2142068;9.818
"PM";3;"PM_P8";2;-15;-30;150;300;"PM_3_PM_P8";4376.3;46.2237250999999;2113.69999999999;24.0095182999999;11.359
"PM";4;"PM_P1";1;0;-15;0;150;"PM_4_PM_P1";1398.2;20.0585772;1398.2;20.0585772;14.346
"PM";4;"PM_P1";2;-15;-30;150;300;"PM_4_PM_P1";3559.1;40.4056116;2160.9;20.3470344;9.416
"PM";4;"PM_P7";1;0;-15;0;150;"PM_4_PM_P7";1712.5;25.4237750000001;1712.5;25.4237750000001;14.846
"PM";4;"PM_P7";2;-15;-30;150;300;"PM_4_PM_P7";3789.6;43.9411215;2077.1;18.5173465;8.915
